feature,importance
ST_Slope,0.33135499240122646
ChestPainType,0.11944454638581367
ExerciseAngina,0.11358872267123245
Oldpeak,0.09767538346124799
Cholesterol,0.09673762038747387
MaxHR,0.09326919505053272
Age,0.050781329231564885
RestingBP,0.03787704436176809
Sex,0.027493132470412365
FastingBS,0.01870793087232614
RestingECG,0.01307010270640147
